Title,Title_URL,Image,text_text_cg3pf,text_text_cg3pf1,User,typography_typography_exx2d,typography_typography_exx2d2
Humans in the loop: creating intuitive and trustworthy AI experiences ,https://www.notion.so/blog/humans-in-the-loop-creating-intuitive-and-trustworthy-ai-experiences,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/s4MqfBeKprhYoy2seI5gK/7e143fececae6db4b0be525082a13d65/AI_trust_thumbnail.png",Notion HQ,At Notion we’re thinking about people’s rapidly evolving relationship with artificial intelligence — and how we can achieve genuine human–AI synergy . ,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6lUMwYCaCoGzOVunUGci7M/59b4f6f0b025f3c42eefbe538f4d1ca2/Jose.png",Jose M. Ceballos ,"AI Research, Notion"
The next chapter in Notion for enterprise,https://www.notion.so/blog/the-next-chapter-in-notion-for-enterprise,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/19jKnPFBgyrKjzULToFISV/bdd188d4365b2be4a19e61611299d272/enterprise-blog.png",Notion HQ,"Today, we’d like to introduce you to the most complete enterprise version of Notion. We’ve made it easier than ever to adopt Notion with more admin, security, and compliance capabilities. ","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/2RUQJFQRGOtxGEWher0hO7/2726a1034c1cf11671ad415bcf08bea8/birkan_avatar.png",Birkan Icacan,"Head of Product, Scale, Notion"
The design thinking behind Notion AI,https://www.notion.so/blog/the-design-thinking-behind-notion-ai,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7MrJ422NjG1ChjOnnWWVCq/04268c3260cdf8f4d05171e5a90b555d/desinging-Notion-AI.png",Notion HQ,Making AI work for every person means building it into every Notion block.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/cy4kdpcrju79JNMWFU9g7/45cd7f2e4d02d4a92bf36e90cdb35af1/Ryo.png",Ryo Lu,"Product, Design"
Rachel Hepworth is Notion's first Chief Marketing Officer (CMO),https://www.notion.so/blog/rachel-hepworth-notions-chief-marketing-officer,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3RV7tcSDBLtxg2WsYk77TR/f3df74fbeecc3c8e3ad46c3e2e57158e/Rachel-announcement.png",Notion HQ,"Rachel Hepworth, one of Notion's early marketing hires, is now our first Chief Marketing Officer.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/59k2loCFTCQwu9cc9CxlH2/16236028ea6c21d11381819dd12ba45a/erica.png",Erica Anderson,"Chief Revenue Officer, Notion"
Back to school: Notion is now free for student organizations,https://www.notion.so/blog/back-to-school-notion-now-free-for-student-organizations,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6qPjQxWfnS0h87HZZkgd9Q/9725467ca8e5650607a607030f1a91c3/student-org-thumb.png",Notion HQ,"For a limited time, select student organizations can apply for a free Notion Plus plan.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/5vJRUT72T913TiafxdrUfp/ad02aff6835d2c3591587354c8dc70b8/mattp.png",Matt Piccolella,"Product, Notion"
A place for creators and builders: the reimagined Notion Template Gallery,https://www.notion.so/blog/new-notion-template-gallery,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4iLLoSt2nvqWtAfanxBdEP/c6fb3d1680c155138a08f2f138a2812f/template-gallery-relaunch__1_.png",Notion HQ,"We've revamped our Template Gallery, giving global creators a place to showcase their work and single place for our community to see what is possible with Notion.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/5vJRUT72T913TiafxdrUfp/ad02aff6835d2c3591587354c8dc70b8/mattp.png",Matt Piccolella,"Product, Notion"
Introducing Rob Giampietro as Notion’s new Head of Creative,https://www.notion.so/blog/rob-giampietro-notion-head-of-creative,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4DkMnBH5E6jVZlCFl3hTA7/dcda59aa3ddf7fdcb31347bf72182cf0/Welcome-Rob.png",Notion HQ,"Rob joins us from Google and brings with him a wealth of experience at the intersection of design, culture, and technology.  ","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Ivan Zhao,Co-founder & CEO
"New, AI-powered Notion Projects: Manage projects from ideation to execution",https://www.notion.so/blog/new-ai-powered-notion-projects,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2RWoxDGPcswuR5L1WjFSpN/38bdc759c63c9213dea043f51014615c/blog-thumbnail-updated.png",Notion HQ,"The new and improved Notion Projects is a connected tool supporting the full project workflow, and the first project management solution to make AI generally available to every single user on day one. ","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Michael Manapat,"Chief Product & Tech Officer, Notion"
Make your Notion projects more powerful and connected with integrations ,https://www.notion.so/blog/partner-apps-notion-projects,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/21UODBfbvmpRBUpFnowmPh/0c27af3d87ffc8bb877e52fa43bf6016/partners-project-management-blog.png",Notion HQ,Here's the partner ecosystem that supports a more connected and customizable workflow in Notion,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/3QPbxR7kwqocvWC6kZm4La/7f384c2ed72698d622662f22b779b93a/kelsey.png",Kelsey Garvey,Business Development
Notion for Startups: not new but much improved,https://www.notion.so/blog/notion-for-startups-relaunch,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5sSoTBp0HeC62pU6SXYmKj/5f2a0ee8c6310aaab7ed99645a3e3056/startup_launch_2.png",Notion HQ,We're offering up to 6 months free including unlimited AI for startups!,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/1VlxU5paaLnYXfSEnOKrdK/5481c21427c4ca1032c226ee4fc72635/jenny-na.png",Jenny Na,"Startup Programs, Notion "
Explore the features and functions of 11 types of websites,https://www.notion.so/blog/types-of-websites,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5oeCkqyLjQNTFntFQY3Bsb/ede66bf91fec6278f67e6ca7100faf94/notions-website-template.png",For Teams,"From business portals to personal blogs and sales sites, learn the different types of websites and how they shape your experience of online content.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
