Title,Title_URL,carticlecard_article_eyebrow_URL,carticlecard_article_eyebrow,Description
"A redesigned Slack, built for focus",https://slack.com/intl/en-gb/blog/productivity/a-redesigned-slack-built-for-focus,https://slack.com/intl/en-gb/blog/productivity,Productivity,A bit of polish to help make you more productive
Transform how sales teams work and win with Slack Sales Elevate,https://slack.com/intl/en-gb/blog/news/slack-sales-elevate,https://slack.com/intl/en-gb/blog/news,News,"Our new solution takes sales productivity to new heights with powerful tools and Sales Cloud insights directly in Slack
"
The State of Work in 2023,https://slack.com/intl/en-gb/blog/news/state-of-work-2023,https://slack.com/intl/en-gb/blog/news,News,"A new global survey highlights the many obstacles to productivity facing desk workers today – and the new, better ways that leaders can support them "
"Introducing Slack GPT, the future of AI in Slack",https://slack.com/intl/en-gb/blog/news/introducing-slack-gpt,https://slack.com/intl/en-gb/blog/news,News,"Bringing the power of generative AI in Slack to help you work smarter, learn faster and communicate better"
How Slack helps to close deals in a tough economy,https://slack.com/intl/en-gb/blog/productivity/productivity-how-close-deals-in-a-tough-economy,https://slack.com/intl/en-gb/blog/productivity,Productivity,Learn how our enterprise sales reps close deals faster with Slack
What’s new in Slack: A look back at 2022,https://slack.com/intl/en-gb/blog/transformation/whats-new-2022,https://slack.com/intl/en-gb/blog/transformation,Transformation,Maximise productivity with these digital-first collaboration innovations
Slack Security Update,https://slack.com/intl/en-gb/blog/news/slack-security-update,https://slack.com/intl/en-gb/blog/news,News,"Because we take security, privacy, and transparency very seriously, we are sharing the details of a recent incident."
Close deals faster with a powerful Sales Cloud and Slack solution,https://slack.com/intl/en-gb/blog/news/close-deals-faster-with-new-solution-for-sales,https://slack.com/intl/en-gb/blog/news,News,"The future of selling is here, with tools that drive sales teams’ speed and efficiency"
"RMIT Online: an in-house disruptor, powered by Slack",https://slack.com/intl/en-gb/blog/productivity/rmit-online-an-in-house-disruptor-powered-by-slack,https://slack.com/intl/en-gb/blog/productivity,Productivity,"“To improve work in the future, we have to improve work itself. We can't just add nice frills around the outside.” "
Your digital HQ just got better with Slack canvas,https://slack.com/intl/en-gb/blog/productivity/your-digital-hq-just-got-better-with-slack-canvas,https://slack.com/intl/en-gb/blog/productivity,Productivity,Introducing a surface that boosts team productivity by turbocharging Slack and Salesforce Customer 360’s value
Slack and Salesforce consulting partners launch industry-specific solutions,https://slack.com/intl/en-gb/blog/news/slack-and-salesforce-consulting-partners-launch-industry-solutions,https://slack.com/intl/en-gb/blog/news,News,"First wave of Slack Partner Industry Solutions will support customers in Financial Services, Manufacturing, Communications, Retail, Media and Tech"
What is a digital HQ? (And why you need one now.),https://slack.com/intl/en-gb/blog/productivity/what-is-a-digital-hq,https://slack.com/intl/en-gb/blog/productivity,Productivity,Today’s top companies are embracing a more flexible and productive way of working by uniting their teams and tools in one place
Slack Frontiers is coming to London,https://slack.com/intl/en-gb/blog/news/slack-frontiers-is-coming-to-london,https://slack.com/intl/en-gb/blog/news,News,"On 11 October, join us at Slack Frontiers Europe to take on today’s toughest challenges and come out winning"
