Title,Title_URL,Image,Like,Name,Description
Tool,https://www.voiceflow.com/marketplace/custom-agency-dashboard,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/651da731be4cce74bb9380cb_Screenshot%202023-09-29%20at%202.11.25%20PM%20(1).png,Custom Analytics Dashboard,REAL AI,Custom analytics dashboard for agency owners!
Showcase,https://www.voiceflow.com/marketplace/ai-powered-search,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/65201c2f9b1a0547bfc4d653_CleanShot%202023-10-06%20at%2010.35.58%402x.png,AI powered search for help centre automation,W. Williams,Esnipe.com integrated Voiceflow's Knowledge Base directly into their search flow and decreased support tickets by 70%
Tool,https://www.voiceflow.com/marketplace/voiceglow,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653441f817ca225f10584694_4-3-vg-banner-2%20(1).png,Voiceglow,Moe Ayman,Interface customization for Voiceflow bots
Tool,https://www.voiceflow.com/marketplace/gpt-discord-bot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471564a930ca3ed5e6cd_6476401b49059f7901c06f82_discord%2520image.png,Discord Integration Code Sample,Nicolas Arcay Bermejo,"Use this template to build a Discord Bot powered by GPT4, Replit, and Voiceflow."
Tool,https://www.voiceflow.com/marketplace/gpt-slackbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d94714603f0f6792a1440c_646fcc0c5415148d215223bc_Group%252051.png,Slackbot Integration Code Sample,Nicolas Arcay Bermejo,This template lets you create an instant Slackbot that will answer questions from uploaded internal docs.
Tool,https://www.voiceflow.com/marketplace/calendly-integration-webchat-inline,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b235010968445e1d20543_CleanShot%202023-09-20%20at%2012.52.12.png,Inline Calendly Integration,Muhammad Dabeer,Embed calendly widget into Voiceflow
Tool,https://www.voiceflow.com/marketplace/calendly-integration-webchat-pop-up,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b2370924036a4e44400a0_CleanShot%202023-09-20%20at%2012.50.49.png,Calendly Integration - Pop Up,Muhammad Dabeer,Add a Calendly Booking button into your chat
Tool,https://www.voiceflow.com/marketplace/file-uploader-webchat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b23a02e32603cf43b5af0_CleanShot%202023-09-20%20at%2012.53.38.png,File Uploader,Muhammad Dabeer,Upload files to voiceflow without leaving the chat!
Tool,https://www.voiceflow.com/marketplace/wordpress-integration,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b24004aa24c57bf86bc31_CleanShot%202023-09-20%20at%2012.55.12.png,Wordpress Integration,Phil Brown,Add Voiceflow chatbots onto WordPress sites without coding
Tool,https://www.voiceflow.com/marketplace/google-form-integration-webchat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b22abf10e902e797339b6_CleanShot%202023-09-20%20at%2012.49.20.png,Google Form Integration,Joël Scheuner,Embed a google sheet right into your Voiceflow assistant!
Tool,https://www.voiceflow.com/marketplace/live-chat-file-upload-custom-language-settings-webchat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b04c80fe596c46f293e42_CleanShot%202023-09-20%20at%2010.41.52.png,Live chat and file upload,Sindri Mørch Tomasson,Add file upload and connection to intercom live chat in Voiceflow chat
Webchat plugin,https://www.voiceflow.com/marketplace/native-calendar-widget-via-calendly-webchat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650de1d7649046ec662ff47f_CleanShot%202023-09-22%20at%2014.49.33%402x.png,Add a Calendly calendar,Norman Dilthey,Book meetings with Calendly inside the Voiceflow chat.
